id_loc,nrohab,village,district,province,RiverName,HydroNameL6,HydroNameL7,HydroNameANA
1606010031,122,CONTAMANILLO,CONTAMANA,UCAYALI,Qda Mashiria,Hydro8,Hydro71,Intercuenca 49915
1606010041,119,NUEVO SAN JOSE,CONTAMANA,UCAYALI,Qda Pacaya,Hydro8,Hydro71,Intercuenca 49915
1606010005,66,ALAN GARCIA,CONTAMANA,UCAYALI,Qda Aguas Calientes,Hydro8,Hydro71,Intercuenca 49915
1606020001,1190,INAHUAYA,INAHUAYA,UCAYALI,Qda Cachiyacu,Hydro8,Hydro70,Intercuenca 49913
1606040009,74,LIBERTAD,PAMPA HERMOSA,UCAYALI,Rio Cushabatay,Hydro8,Hydro70,Cuenca Cushabatay
1601090089,208,EL ALAMO,PUTUMAYO,PUTUMAYO,Rio Yaguas (Yahuillo),Hydro12,Hydro1,Cuenca Putumayo
1601090037,100,PUERTO FRANCO,PUTUMAYO,PUTUMAYO,Rio Putumayo,Hydro12,Hydro2,Cuenca Putumayo
1601090010,57,ER+,PUTUMAYO,PUTUMAYO,Rio Ere,Hydro12,Hydro15,Cuenca Putumayo
1601090007,55,PUERTO SOLEDAD,PUTUMAYO,PUTUMAYO,Rio Putumayo,Hydro12,Hydro15,Cuenca Putumayo
1605020003,173,CANCHALAGUAS,ALTO TAPICHE,REQUENA,Rio Tapiche,Hydro9,Hydro47,Cuenca Tapiche
1605020006,91,PACASMAYO,ALTO TAPICHE,REQUENA,Rio Tapiche,Hydro9,Hydro75,Cuenca Tapiche
1605030005,515,HUATAPI,CAPELO,REQUENA,Rio Ucayali,Hydro8,Hydro76,Intercuenca 49913
1605040009,471,LAGO SAN MARCOS,EMILIO SAN MARTIN,REQUENA,Rio Ucayali,Hydro8,Hydro76,Intercuenca 49913
1605040018,168,PERLITA,EMILIO SAN MARTIN,REQUENA,Rio Ucayali,Hydro8,Hydro76,Intercuenca 49913
1605040028,118,SAN JUAN DE CUMACEVA,EMILIO SAN MARTIN,REQUENA,Qda Main,Hydro8,Hydro76,Intercuenca 49913
1605040029,75,VICTOR RAUL,EMILIO SAN MARTIN,REQUENA,Rio Buncuyo,Hydro8,Hydro76,Intercuenca 49913
1605050018,63,SANTA CLOTILDE,MAQUIA,REQUENA,Rio Ucayali,Hydro8,Hydro76,Intercuenca 49913
1605050025,141,NUEVA ESPERANZA,MAQUIA,REQUENA,Rio Ucayali,Hydro8,Hydro76,Intercuenca 49913
1605050035,106,MAQUIA TIPISHCA,MAQUIA,REQUENA,Qda Siuca,Hydro8,Hydro76,Intercuenca 49913
1605060016,256,BELLAVISTA,PUINAHUA,REQUENA,Rio Canal Puinahua,Hydro8,Hydro39,Intercuenca 49913
1605060003,492,MANCO CAPAC,PUINAHUA,REQUENA,Rio Canal Puinahua,Hydro8,Hydro39,Intercuenca 49913
1605060006,219,URARINAS,PUINAHUA,REQUENA,Qda Sapoteyacu,Hydro8,Hydro39,Intercuenca 49913
1603020028,171,2 DE MAYO,PARINARI,LORETO,Rio Samiria,Hydro6,Hydro37,Intercuenca Medio Bajo Marañón
1601030125,89,NUEVO JERUSALEN,FERNANDO LORES,MAYNAS,Rio Yarapa,Hydro2,Hydro26,Intercuenca 49911
1601030122,373,PUERTO MIGUEL,FERNANDO LORES,MAYNAS,Rio Yarapa,Hydro2,Hydro26,Intercuenca 49911
1605080007,62,NUEVO CAPANAHUA,SOPLIN,REQUENA,Rio Blanco,Hydro9,Hydro43,Cuenca Tapiche
1605080001,221,CURINGA,SOPLIN,REQUENA,Rio Blanco,Hydro9,Hydro43,Cuenca Tapiche
1605080006,103,EL LOBO,SOPLIN,REQUENA,Rio Blanco,Hydro9,Hydro43,Cuenca Tapiche
1605080005,34,ESPA_A,SOPLIN,REQUENA,Rio Blanco,Hydro9,Hydro43,Cuenca Tapiche
1605080004,28,FRONTERA,SOPLIN,REQUENA,Rio Blanco,Hydro9,Hydro43,Cuenca Tapiche
1601080001,69308,PUNCHANA,PUNCHANA,MAYNAS,Rio Amazonas,Hydro2,Hydro21,Cuenca Itaya
1601120026,169,MOHENA CA_aeO,BELEN,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601010015,91,LAGUNAS,IQUITOS,MAYNAS,Rio Nanay,Hydro2,Hydro20,Cuenca Nanay
1601010011,193,TARAPOTO,IQUITOS,MAYNAS,Rio Nanay,Hydro2,Hydro20,Cuenca Nanay
