hydro_name_ana,size,order,edge_density,province,district,village,ccpp_id,population,river_name,hydro_name_l6,hydro_name_l7,adef,degree,strength_dist,strength_inv_dist,strength_grav_pop,strength_modgrav_pop_ori,strength_modgrav_pop_dest,strength_modgrav_pop,strength_grav_adef,strength_modgrav_adef_ori,strength_modgrav_adef_dest,strength_modgrav_adef,closeness,closeness_dist,closeness_inv_dist,closeness_grav_pop,closeness_modgrav_pop_ori,closeness_modgrav_pop_dest,closeness_modgrav_pop,closeness_grav_adef,closeness_modgrav_adef_ori,closeness_modgrav_adef_dest,closeness_modgrav_adef,betweenness,betweenness_dist,betweenness_inv_dist,betweenness_grav_pop,betweenness_modgrav_pop_ori,betweenness_modgrav_pop_dest,betweenness_modgrav_pop,betweenness_grav_adef,betweenness_modgrav_adef_ori,betweenness_modgrav_adef_dest,betweenness_modgrav_adef,eigen,eigen_dist,eigen_inv_dist,eigen_grav_pop,eigen_modgrav_pop_ori,eigen_modgrav_pop_dest,eigen_modgrav_pop,eigen_grav_adef,eigen_modgrav_adef_ori,eigen_modgrav_adef_dest,eigen_modgrav_adef
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,CONTAMANILLO,1606010031,122,Qda Mashiria,Hydro8,Hydro71,5.75056146,8,0.014409160239591157,0.8385057273433727,0.2369395794590654,0.006450331272921983,0.19340856118352062,0,0.6992110388992562,0,0.2306196148076788,0,0.5,0.972660238908639,0.1799383061690859,0.9425069220061991,0.9904048264981101,0.8368697560428706,1,0.20435545321580428,1,0.8064304413916532,1,0.5,0.5,0,0,0.10526315789473684,0,1,0,0.8,0.08333333333333333,0.625,0.5,0.029534300460927074,0.8115747791778019,0.5515196990897472,0.008755390381231291,0.24051745192899546,0.00508453644849626,0.6674733782384292,0,0.3472176836466085,0
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,NUEVO SAN JOSE,1606010041,119,Qda Pacaya,Hydro8,Hydro71,7.1147905,8,0,0.7209755015342391,0.17718199381318162,0.014258661964500952,0.19358125763545583,0.008012261198373944,0.6868437201752264,0.1133499555593508,0.11600331746089261,0.09488341587242179,0.5,1,0.12036040730625724,0.9418094643150586,0.9818815576236337,0.8001086971346134,0.9963316373500777,0.015647058587665116,0.9139135900843481,0.8410939269199851,0.9486119945517675,0.5,0.5,0,0,0,0,0,0,0,0.3333333333333333,0.125,0.5,0,0.715819327085914,0.41168408083554797,0.021023178183263568,0.24072636212996945,0.017370722316552022,0.6390003526912323,0.16585383644183554,0.1546346579256167,0.14960514265013067
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,ALAN GARCIA,1606010005,66,Qda Aguas Calientes,Hydro8,Hydro71,5.75268901,8,0.3268127612610994,0.24052192870404382,0.07614680706116993,0.04968244000383837,0.4232588920087333,0.05538315898424001,0.22711094481218913,0.20386274606212018,0.5231370102253838,0.23411392937830197,0.5,0.5172310904918498,0.3388901679084264,0.9700867749282026,0.9318566590447054,0.8620869522994662,0.8651650267436153,0.3532689752975198,0.7008708363594778,0.48440533981063755,0.5697516933137301,0.5,0.5,0.2222222222222222,0,0,0,0,0,0,0,0,0.5,0.41654643753423376,0.2659149068031533,0.17976673460002637,0.0757487273040647,0.5234995815515957,0.07434898691100535,0.24020776464575183,0.2779702790887811,0.6756534417144485,0.31006412332972055
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,VENCEDOR,1606010062,220,Rio Pisqui,Hydro8,Hydro71,6.85954782,8,0.3858639309003239,0.16944970402671067,0.06705563535965828,0.06465420167513115,0.35790937995974725,0.0670761868171228,0.15315004475180555,0.1264935052782033,0.7428748041089505,0.23000491469150663,0.5,0.4529018685016464,0.2538443063402814,0.8629471450821949,0.941415565583371,0.20111605979029112,0.8383307481581804,0,0.8193209517318616,0.1405942932287857,0.5713854717291439,0.5,0.5,0,0,0,0,0.16666666666666666,0,1,0.16666666666666666,1,0.5,0.299245204170962,0.04879069650139824,0.1474426541478836,0.09808218931334498,0.38580541618417613,0.09491038075797892,0.06760420894828582,0.0992159972214032,0.6956600997490384,0.18852858900770897
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,LIBERTAD,1606010020,40,Rio Ucayali,Hydro8,Hydro71,6.63723875,8,0.03200892965639474,1,0.25394879733156117,0,0.5646781347524239,0.012740574008917645,0.9851222912388589,0.11734830142531023,0.14521503418852136,0.08990996829383328,0.5,0.9402245405120722,0.22434502355581465,0.9932810596349625,1,0.9819465629059579,0.9807083060342672,0.1447262316283306,0.8677500044130686,0.9029387733469507,0.9472140711733364,0.5,0.5,0,0.5909090909090909,1,0,0.8333333333333334,0,0.5333333333333333,0,0.625,0.5,0.06043497370998143,1,0.6006298959565436,0,0.710571301144741,0,1,0.1772323790780164,0.21860637675928218,0.15259611083302976
Intercuenca 49915,36,9,1,UCAYALI,PADRE MARQUEZ,MARISCAL CASTILLA,1606030022,360,Rio Ucayali,Hydro8,Hydro71,4.1030095,8,1,0,0.08466570352385853,0.043711892028639725,1,0.07908208307826105,0,1,0.7432834112581842,1,0.5,0,1,0.8414807347258538,0.9669578425233679,0,0.5900607330332897,1,0,0.1541094689012339,0,0.5,0.5,0.1111111111111111,0,0.3684210526315789,0,0,1,0,0,0,0.5,1,0,0.19305081623952394,0.06590583159908187,1,0.08646694650155905,0,1,0.7844914677876156,1
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,SAN FRANCISCO,1606010074,39,Rio Pisqui,Hydro8,Hydro71,5.44990416,8,0.8903526737220643,0.059296054210666325,0,0.6420646278249937,0.3611405231536714,0.6516370013838539,0.06422449384565478,0.5630523960751097,1,0.5945233851530947,0.5,0.060197836035861194,0.6810198646658533,1,0.915463475529425,0.6403259162642964,0.7434912560961219,0.5069785223741564,0.2701418487761596,0,0.2527682790709785,0.5,0.5,1,1,0,0,0,0,0,0,0,0.5,0.8691104154685724,0.0023231262240687575,0,0.9707453096471267,0.6024822916987969,0.970372576868193,0.018647804744273806,0.5759979198009512,1,0.599054719178063
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,CONTAMANA,1606010001,15036,Rio Ucayali,Hydro8,Hydro71,7.95547628,8,0.04511940003425349,0.918990296530113,1,1,0,1,1,0.31631334229076674,0,0.262677130096861,0.5,0.9167196878463829,0.2238248508059573,0,0,1,0,0.03399302758007139,0.7433683093944232,1,0.8543801192449257,0.5,0.5,0,0,0,1,0,0,0,1,0,0.5,0.07537784737923142,0.9457676621968679,1,1,0,1,0.9930553408949079,0.45960234131980277,0,0.4087891596687343
Intercuenca 49915,36,9,1,UCAYALI,CONTAMANA,SANTA ROSA DEL PISQUI,1606010057,200,Rio Pisqui,Hydro8,Hydro71,2.96821876,8,0.20315116801278887,0.175298784406701,0.0737346656046637,0.058186301099696074,0.28018263043600455,0.05684822694391282,0.04342027936919115,0.5138461327017084,0.3111942152387562,0.6724059718808946,0.5,0.6710703750122228,0,0.8510881642293893,0.947458549303185,0.28951003708381085,0.88057472399294,0.6669223357870244,0.7271184584898693,0.6070991517394678,0.20763950500700537,0.5,0.5,0,0,0,0,0.8333333333333334,0,0.8666666666666667,0.16666666666666666,0.125,0.5,0.10174074290057802,0.0725927053874968,0.16311548438675094,0.0885438333833117,0.3086025107941555,0.08499885841191612,0.010344764568418315,0.44581542686683723,0.3875404944815913,0.6493522499991904
Intercuenca 49913,2556,72,1,UCAYALI,INAHUAYA,INAHUAYA,1606020001,1190,Qda Cachiyacu,Hydro8,Hydro70,5.71526478,71,1,0,0.26047371858654583,0.1551097730472913,0.19614616004231544,0.19919923738506964,0.020075872803623926,0.1733310539812118,0.6326637132006,0.45981252487140273,0.5,0,1,0.3977516083659095,0.3906924780867062,0.3902991937417267,0.10598088030247887,0.42166150092928256,0.19873896006305694,0.10430349979547017,0,0.5,0,1,0,0,0,0,0,0,0,0,0.5,1,0,0.5267475669450092,0.19378562485322887,0.19859566048350255,0.18377881056322967,8.026826458459378e-4,0.11311550879573803,0.578302753143181,0.5679089512264883
