province,district,village,ccpp_id,population,river_name,hydro_name_ana,hydro_name_l6,hydro_name_l7,adef
UCAYALI,CONTAMANA,CONTAMANILLO,1606010031,122,Qda Mashiria,Intercuenca 49915,Hydro8,Hydro71,5.75056146
UCAYALI,CONTAMANA,NUEVO SAN JOSE,1606010041,119,Qda Pacaya,Intercuenca 49915,Hydro8,Hydro71,7.1147905
UCAYALI,CONTAMANA,ALAN GARCIA,1606010005,66,Qda Aguas Calientes,Intercuenca 49915,Hydro8,Hydro71,5.75268901
UCAYALI,INAHUAYA,INAHUAYA,1606020001,1190,Qda Cachiyacu,Intercuenca 49913,Hydro8,Hydro70,5.71526478
UCAYALI,PAMPA HERMOSA,LIBERTAD,1606040009,74,Rio Cushabatay,Cuenca Cushabatay,Hydro8,Hydro70,11.65319876
PUTUMAYO,PUTUMAYO,EL ALAMO,1601090089,208,Rio Yaguas (Yahuillo),Cuenca Putumayo,Hydro12,Hydro1,0.57103748
PUTUMAYO,PUTUMAYO,PUERTO FRANCO,1601090037,100,Rio Putumayo,Cuenca Putumayo,Hydro12,Hydro2,0.6105503800000001
PUTUMAYO,PUTUMAYO,ER+,1601090010,57,Rio Ere,Cuenca Putumayo,Hydro12,Hydro15,0.5863612500000001
PUTUMAYO,PUTUMAYO,PUERTO SOLEDAD,1601090007,55,Rio Putumayo,Cuenca Putumayo,Hydro12,Hydro15,1.12009448
REQUENA,ALTO TAPICHE,CANCHALAGUAS,1605020003,173,Rio Tapiche,Cuenca Tapiche,Hydro9,Hydro47,5.84879709
REQUENA,ALTO TAPICHE,PACASMAYO,1605020006,91,Rio Tapiche,Cuenca Tapiche,Hydro9,Hydro75,1.15448741
REQUENA,CAPELO,HUATAPI,1605030005,515,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,1.39594003
REQUENA,EMILIO SAN MARTIN,LAGO SAN MARCOS,1605040009,471,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,4.65205653
REQUENA,EMILIO SAN MARTIN,PERLITA,1605040018,168,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,6.5962293899999995
REQUENA,EMILIO SAN MARTIN,SAN JUAN DE CUMACEVA,1605040028,118,Qda Main,Intercuenca 49913,Hydro8,Hydro76,0.41686742
REQUENA,EMILIO SAN MARTIN,VICTOR RAUL,1605040029,75,Rio Buncuyo,Intercuenca 49913,Hydro8,Hydro76,0.92978343
REQUENA,MAQUIA,SANTA CLOTILDE,1605050018,63,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,6.03373966
REQUENA,MAQUIA,NUEVA ESPERANZA,1605050025,141,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,5.27665756
REQUENA,MAQUIA,MAQUIA TIPISHCA,1605050035,106,Qda Siuca,Intercuenca 49913,Hydro8,Hydro76,2.96698177
REQUENA,PUINAHUA,BELLAVISTA,1605060016,256,Rio Canal Puinahua,Intercuenca 49913,Hydro8,Hydro39,3.73733388
REQUENA,PUINAHUA,MANCO CAPAC,1605060003,492,Rio Canal Puinahua,Intercuenca 49913,Hydro8,Hydro39,4.15438495
REQUENA,PUINAHUA,URARINAS,1605060006,219,Qda Sapoteyacu,Intercuenca 49913,Hydro8,Hydro39,1.51411265
LORETO,PARINARI,2 DE MAYO,1603020028,171,Rio Samiria,Intercuenca Medio Bajo Marañón,Hydro6,Hydro37,0.8278718
MAYNAS,FERNANDO LORES,NUEVO JERUSALEN,1601030125,89,Rio Yarapa,Intercuenca 49911,Hydro2,Hydro26,1.05458467
MAYNAS,FERNANDO LORES,PUERTO MIGUEL,1601030122,373,Rio Yarapa,Intercuenca 49911,Hydro2,Hydro26,0.97440308
REQUENA,SOPLIN,NUEVO CAPANAHUA,1605080007,62,Rio Blanco,Cuenca Tapiche,Hydro9,Hydro43,0.82133331
REQUENA,SOPLIN,CURINGA,1605080001,221,Rio Blanco,Cuenca Tapiche,Hydro9,Hydro43,1.5589429
REQUENA,SOPLIN,EL LOBO,1605080006,103,Rio Blanco,Cuenca Tapiche,Hydro9,Hydro43,1.42127372
REQUENA,SOPLIN,ESPA_A,1605080005,34,Rio Blanco,Cuenca Tapiche,Hydro9,Hydro43,0.34129405
REQUENA,SOPLIN,FRONTERA,1605080004,28,Rio Blanco,Cuenca Tapiche,Hydro9,Hydro43,0.33949255
MAYNAS,PUNCHANA,PUNCHANA,1601080001,69308,Rio Amazonas,Cuenca Itaya,Hydro2,Hydro21,2.51471335
MAYNAS,BELEN,MOHENA CA_aeO,1601120026,169,Rio Itaya,Cuenca Itaya,Hydro2,Hydro21,2.22354768
MAYNAS,IQUITOS,LAGUNAS,1601010015,91,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,2.61784373
MAYNAS,IQUITOS,TARAPOTO,1601010011,193,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,3.61688647
MAYNAS,IQUITOS,LIBERTAD,1601010012,296,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,2.34461451
MAYNAS,IQUITOS,AYACUCHO,1601010013,52,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,2.73592588
MAYNAS,IQUITOS,YARINA,1601010014,97,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,1.47206491
MAYNAS,IQUITOS,FRAY MARTIN,1601010003,125,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,5.51372334
MAYNAS,IQUITOS,SAN JOSE DE LUPUNA,1601010005,420,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,5.68542035
MAYNAS,IQUITOS,TRES UNIDOS,1601010006,52,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,6.07641636
MAYNAS,IQUITOS,SAN PABLO DE CUYAMA,1601010007,198,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,5.70043976
MAYNAS,PUNCHANA,NUEVA PRIMAVERA,1601080052,45,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,6.00500797
MAYNAS,SAN JUAN BAUTISTA,PORVENIR,1601130010,73,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,1.21568864
MAYNAS,SAN JUAN BAUTISTA,LLANCHAMA,1601130006,226,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,4.69101273
MAYNAS,SAN JUAN BAUTISTA,NINA RUMI,1601130005,636,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,6.64709019
MAYNAS,SAN JUAN BAUTISTA,PUERTO ALMENDRA,1601130004,227,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,5.81751621
MAYNAS,SAN JUAN BAUTISTA,SANTO TOMAS,1601130015,1188,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,5.1075308
MAYNAS,SAN JUAN BAUTISTA,ZUNGARO COCHA,1601130018,841,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,5.45502408
MAYNAS,SAN JUAN BAUTISTA,NUEVA ESPERANZA,1601130027,115,Rio Nanay,Cuenca Nanay,Hydro2,Hydro20,4.65406289
MAYNAS,ALTO NANAY,MIRAFLORES,1601020036,68,Rio Pintoyacu,Cuenca Nanay,Hydro2,Hydro20,0.61519184
MAYNAS,ALTO NANAY,NUEVA ESPERANZA,1601020040,4,Rio Pintoyacu,Cuenca Nanay,Hydro2,Hydro20,0.74094551
MAYNAS,ALTO NANAY,VILLA FLOR,1601020003,124,Rio Chambira,Cuenca Nanay,Hydro2,Hydro20,0.89259795
MAYNAS,ALTO NANAY,BUENA VISTA,1601020005,72,Rio Chambira,Cuenca Nanay,Hydro2,Hydro20,1.10805889
MAYNAS,INDIANA,SANTA VICTORIA,1601040039,193,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,5.17081801
MAYNAS,INDIANA,YANAYACU - TIMICURO,1601040040,116,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,4.08804217
MAYNAS,LAS AMAZONAS,JOSE CARLOS MARIATEGUI,1601050023,38,Rio Amazonas,Intercuenca 49791,Hydro2,Hydro12,2.3993395
MAYNAS,INDIANA,INDIANA,1601040001,3421,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,11.16082645
MAYNAS,INDIANA,NUEVO SINAI,1601040006,47,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,3.23172783
MAYNAS,INDIANA,TIMICURILLO III - ZONA,1601040031,106,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,11.22847793
MAYNAS,INDIANA,IQUIQUE,1601040017,209,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,6.45017174
MAYNAS,INDIANA,NUEVO TRIUNFO,1601040027,61,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,2.16171539
MAYNAS,INDIANA,JORGE CHAVEZ,1601040016,121,Rio Amazonas,Intercuenca 49793,Hydro2,Hydro16,4.29622916
MAYNAS,LAS AMAZONAS,CAPIRONAL,1601050024,69,Rio Amazonas,Intercuenca 49791,Hydro2,Hydro12,4.07643678
MAYNAS,INDIANA,NUEVO MIRAFLORES,1601040012,159,Rio Amazonas,Intercuenca 49791,Hydro15,Hydro9,7.20391209
MAYNAS,INDIANA,SANTA SOFIA,1601040014,135,Rio Amazonas,Intercuenca 49791,Hydro2,Hydro12,4.9606607799999995
MAYNAS,INDIANA,NUEVO SAN PEDRO RIO MANIT,1601040053,63,Rio Maniti,Cuenca Manití,Hydro2,Hydro17,1.01586693
MAYNAS,INDIANA,SANTA CECILIA,1601040049,471,Rio Maniti,Cuenca Manití,Hydro2,Hydro17,1.81213916
MAYNAS,INDIANA,PAPARO,1601040038,103,Rio Maniti,Cuenca Manití,Hydro2,Hydro17,5.26013764
MAYNAS,BELEN,NUEVO HUMARAL,1601120063,83,Rio Maniti,Cuenca Manití,Hydro2,Hydro17,1.6535066999999999
MAYNAS,INDIANA,MONTE CARMELO,1601040047,71,Rio Maniti,Cuenca Manití,Hydro2,Hydro17,1.62021556
MAYNAS,INDIANA,VILLA ESTHER,1601040048,90,Rio Maniti,Cuenca Manití,Hydro2,Hydro17,0.87660876
MAYNAS,INDIANA,11 DE DICIEMBRE,1601040054,20,Rio Maniti,Cuenca Manití,Hydro2,Hydro17,1.4334289500000001
MAYNAS,LAS AMAZONAS,SAN ANTONIO DE MARUPA,1601050025,145,Rio Amazonas,Intercuenca 49791,Hydro4,Hydro13,4.49543511
MAYNAS,LAS AMAZONAS,SANTA ELENA,1601050009,65,Rio Amazonas,Intercuenca 49791,Hydro4,Hydro13,3.27238589
MAYNAS,LAS AMAZONAS,NUEVO TRIUNFO,1601050014,66,Rio Amazonas,Intercuenca 49791,Hydro4,Hydro13,3.00008476
MAYNAS,LAS AMAZONAS,SAN JOSE DE YANASHI,1601050057,184,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,1.4969961999999999
MAYNAS,LAS AMAZONAS,"NAZARIA",1601050039,403,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,4.40514825
MAYNAS,LAS AMAZONAS,NUEVO HORIZONTE,1601050056,102,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,6.27491699
MAYNAS,LAS AMAZONAS,MARUPA,1601050031,83,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,2.19250015
MAYNAS,LAS AMAZONAS,MANAOS DEL TIPISHCA,1601050041,127,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,4.99342295
MAYNAS,LAS AMAZONAS,SAN AUGUSTO,1601050055,108,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,4.56302864
MAYNAS,LAS AMAZONAS,ROCA ETERNA,1601050029,180,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,5.47014407
MAYNAS,LAS AMAZONAS,7 DE JUNIO,1601050022,74,Rio Amazonas,Intercuenca 4977,Hydro4,Hydro13,3.78518076
MAYNAS,LAS AMAZONAS,NUEVA UNION DEL BOYADOR,1601050017,36,Rio Amazonas,Intercuenca 4977,Hydro15,Hydro9,2.09987321
MAYNAS,LAS AMAZONAS,NUEVO ISRAEL,1601050064,81,Rio Orosa,Intercuenca 4977,Hydro15,Hydro73,3.5069914
MAYNAS,LAS AMAZONAS,NUEVA LIBERTAD DE PAUCARI,1601050068,32,Rio Orosa,Intercuenca 4977,Hydro15,Hydro73,3.38441905
MAYNAS,LAS AMAZONAS,FRANCIA,1601050015,6,Rio Napo,Cuenca Napo,Hydro4,Hydro13,3.51936028
MAYNAS,MAZAN,NUEVO ORIENTE,1601060076,132,Qda Copalillo,Cuenca Napo,Hydro4,Hydro23,4.60869324
MAYNAS,MAZAN,SUCUSARI,1601060009,79,Rio Sucusari,Cuenca Napo,Hydro4,Hydro13,2.30500515
MAYNAS,MAZAN,LAGO YURAC YACU,1601060032,160,Rio Napo,Cuenca Napo,Hydro4,Hydro13,2.1632386
MAYNAS,MAZAN,17 DE JUNIO,1601050074,84,Rio Napo,Cuenca Napo,Hydro4,Hydro13,2.8181853
MAYNAS,MAZAN,BELLO HORIZONTE,1601060041,230,Rio Napo,Cuenca Napo,Hydro4,Hydro13,5.47517567
MAYNAS,MAZAN,URCO MIRA_O,1601060033,318,Rio Napo,Cuenca Napo,Hydro4,Hydro13,4.44214221
MAYNAS,MAZAN,HUAMAN URCO,1601060021,351,Rio Napo,Cuenca Napo,Hydro4,Hydro23,4.84638792
MAYNAS,MAZAN,YARINA ISLA,1601060014,145,Rio Napo,Cuenca Napo,Hydro4,Hydro13,3.51225811
MAYNAS,MAZAN,ISLA TAMANCO,1601060018,189,Rio Napo,Cuenca Napo,Hydro4,Hydro13,4.83807187
MAYNAS,MAZAN,8 DE OCTUBRE,1601060053,79,Rio Napo,Cuenca Napo,Hydro4,Hydro13,4.87040979
MAYNAS,MAZAN,NUEVO FLAUTERIO,1601060057,26,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.59782599
MAYNAS,MAZAN,NUEVO IQUITOS,1601060005,45,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.35075708
MAYNAS,MAZAN,NUEVO PORVENIR,1601060034,66,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.1938350300000002
MAYNAS,MAZAN,PUERTO OBRERO,1601060078,87,Rio Napo,Cuenca Napo,Hydro4,Hydro23,1.75325271
MAYNAS,MAZAN,VISTO BUENO,1601060044,56,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,1.67218917
MAYNAS,MAZAN,NUEVO TIWINSA,1601060069,77,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,4.17913937
