code,name,row,col
Cuenca Putumayo,C Putumayo,1,5
Cuenca Itaya,C Itaya,2,5
Cuenca Napo,C Napo,2,6
Cuenca Tigre,C Tigre,2,4
Cuenca Morona,C Morona,2,3
Intercuenca 49799,IC 49799,3,5
Cuenca Nanay,C Nanay,3,6
Intercuenca 49793,IC 49793,3,7
Cuenca Pastaza,C Pastaza,3,4
Intercuenca Medio Marañón,IC Medio Marañón,3,3
Intercuenca 49873,IC 49873,3,2
Intercuenca 49877,IC 49877,3,1
Cuenca Tahuayo,C Tahuayo,4,5
Intercuenca 49795,IC 49795,4,6
Intercuenca 49791,IC 49791,4,7
Intercuenca 4977,IC 4977,4,8
Intercuenca Medio Bajo Marañón,IC Medio Bajo Marañón,4,4
Intercuenca Bajo Huallaga,IC Bajo Huallaga,4,3
Intercuenca 49871,IC 49871,4,2
Intercuenca 49911,IC 49911,5,5
Cuenca Yavari,C Yavari,5,6
Cuenca Manití,C Manití,5,7
Intercuenca Bajo Marañón,IC Bajo Marañón,5,4
Intercuenca Medio Bajo Huallaga,IC Medio Bajo Huallaga,5,3
Cuenca Carhuapanas,C Carhuapanas,5,2
Cuenca Potro,C Potro,4,1
Intercuenca 49797,IC 49797,6,5
Cuenca Tapiche,C Tapiche,6,4
Intercuenca 49913,IC 49913,6,3
Cuenca Paranapura,C Paranapura,6,2
Intercuenca 49915,IC 49915,7,3
