village_id,village,district,province,population,watershed,forest_loss
1606010020,LIBERTAD,CONTAMANA,UCAYALI,40,Intercuenca 49915,92.33104875
1606030022,MARISCAL CASTILLA,PADRE MARQUEZ,UCAYALI,360,Intercuenca 49915,46.04706125
1606010001,CONTAMANA,CONTAMANA,UCAYALI,15036,Intercuenca 49915,118.38296875
1606010062,VENCEDOR,CONTAMANA,UCAYALI,220,Intercuenca 49915,107.24765249999999
1606010041,NUEVO SAN JOSE,CONTAMANA,UCAYALI,119,Intercuenca 49915,69.7983225
1606010031,CONTAMANILLO,CONTAMANA,UCAYALI,122,Intercuenca 49915,79.81546125000001
1606010005,ALAN GARCIA,CONTAMANA,UCAYALI,66,Intercuenca 49915,97.03351500000001
1606040009,LIBERTAD,PAMPA HERMOSA,UCAYALI,74,Intercuenca 49915,158.76019749999998
1606010057,SANTA ROSA DEL PISQUI,CONTAMANA,UCAYALI,200,Intercuenca 49915,46.2132975
1606010074,SAN FRANCISCO,CONTAMANA,UCAYALI,39,Intercuenca 49915,44.24153875
1602010069,ZAPOTE,YURIMAGUAS,ALTO AMAZONAS,132,Intercuenca Medio Bajo Huallaga,138.19524125
1602010107,PUERTO PERU,YURIMAGUAS,ALTO AMAZONAS,307,Intercuenca Medio Bajo Huallaga,270.94771
1602010109,COTO YACU,YURIMAGUAS,ALTO AMAZONAS,144,Intercuenca Medio Bajo Huallaga,254.05971250000002
1602010092,NUEVO JAEN,YURIMAGUAS,ALTO AMAZONAS,89,Intercuenca Medio Bajo Huallaga,189.1016025
1602010090,SAN JUAN DE PUMAYACU,YURIMAGUAS,ALTO AMAZONAS,210,Intercuenca Medio Bajo Huallaga,173.73441
1602010087,SUNIPLAYA,YURIMAGUAS,ALTO AMAZONAS,99,Intercuenca Medio Bajo Huallaga,161.95482
1602010096,QUINAYOC,YURIMAGUAS,ALTO AMAZONAS,158,Intercuenca Medio Bajo Huallaga,228.27156125000002
1602010088,30 DE AGOSTO,YURIMAGUAS,ALTO AMAZONAS,125,Intercuenca Medio Bajo Huallaga,158.70742375
1602010099,SANTO TOMAS,YURIMAGUAS,ALTO AMAZONAS,477,Intercuenca Medio Bajo Huallaga,146.305995
1602010066,CHIRAPA,YURIMAGUAS,ALTO AMAZONAS,134,Intercuenca Medio Bajo Huallaga,173.1383125
1602010105,LAS PALMERAS,YURIMAGUAS,ALTO AMAZONAS,111,Intercuenca Medio Bajo Huallaga,252.0569525
