code,name,row,col
Cuenca Napo,C Napo,1,6
Cuenca Putumayo,C Putumayo,1,7
Cuenca Tigre,C Tigre,1,5
Cuenca Morona,C Morona,2,3
Intercuenca 49793,IC 49793,2,7
Cuenca Nanay,C Nanay,2,6
Intercuenca 4977,IC 4977,2,8
Cuenca Itaya,C Itaya,2,5
Cuenca Pastaza,C Pastaza,2,4
Intercuenca 49873,IC 49873,3,2
Intercuenca 49795,IC 49795,3,6
Intercuenca 49791,IC 49791,3,7
Intercuenca 49799,IC 49799,3,5
Intercuenca Medio Bajo Marañón,IC Medio Bajo Marañón,3,4
Intercuenca Medio Marañón,IC Medio Marañón,3,3
Intercuenca 49877,IC 49877,4,1
Intercuenca 49871,IC 49871,4,2
Intercuenca 49797,IC 49797,4,6
Cuenca Manití,C Manití,4,7
Cuenca Tahuayo,C Tahuayo,4,5
Intercuenca Bajo Marañón,IC Bajo Marañón,4,4
Intercuenca Bajo Huallaga,IC Bajo Huallaga,4,3
Cuenca Potro,C Potro,5,1
Cuenca Carhuapanas,C Carhuapanas,5,2
Cuenca Yavari,C Yavari,5,6
Intercuenca 49911,IC 49911,5,5
Cuenca Tapiche,C Tapiche,5,4
Intercuenca Medio Bajo Huallaga,IC Medio Bajo Huallaga,5,3
Cuenca Paranapura,C Paranapura,6,2
Intercuenca 49913,IC 49913,6,3
Intercuenca 49915,IC 49915,7,3
